temperature,pressure,humidity,iaq
26.52457809,100001.8203,33.80247498,58.43168259
26.50452805,99992.99219,33.78495407,59.28536987
26.4593811,99984.78125,33.79443741,53.99795914
26.472229,99975.96875,33.74390411,57.04050446
26.477211,99967.27344,33.6644783,57.23999786
26.51207924,99946.5,33.55548096,58.13961029
26.52203941,99934.54688,33.51105881,61.11991119
26.50202179,99928.66406,33.54368973,62.87023926
26.53235054,99931.21094,33.58671188,62.65349579
26.49707031,99921.66406,33.66904831,61.24670029
26.51458549,99918.21094,33.75148773,63.2624054
26.48698235,99907.65625,33.83349609,64.24320221
26.4695015,99898.875,33.89719009,64.66563416
26.43935966,99892.125,34.00660324,66.38156891
26.41930771,99887.48438,34.10629654,66.39328003
26.42181587,99886.0625,34.16188812,66.75717163
26.41930771,99885.66406,34.22024155,67.31121826
26.43460274,99872.875,34.26197052,68.39012146
26.46702766,99859.57031,34.29039001,68.21603394
26.5297184,99855.55469,34.23442841,67.92080688
26.5496769,99859.4375,34.25198746,64.31208801
26.60009003,99850.17188,34.2241745,63.48027039
26.63749504,99839.83594,34.1289711,63.49245453
26.69276237,99829.14063,34.03172684,62.6574173
26.72509384,99821.66406,33.96796036,61.55269241
26.81034279,99812.61719,33.7796669,60.03116608
26.83550453,99805.96094,33.62952042,57.52539063
26.80038071,99793.66406,33.54951477,56.31880188
26.81557846,99790.55469,33.47510529,55.33747482
26.81532478,99775.38281,33.40673447,54.72316742
26.82551003,99766.73438,33.36936951,53.33731842
26.80050659,99758.03906,33.42961121,53.41785049
26.83537674,99756.78906,33.44221115,52.95686722
26.82535172,99758.14063,33.48141479,51.47297668
26.82560539,99755.58594,33.51755905,52.00442886
26.88052368,99752.1875,33.54913712,51.95652771
26.89299011,99742.64063,33.63176727,51.52446747
26.87808228,99729.6875,33.68246841,51.16035461
26.86044121,99734.24219,33.79498291,52.86891174
26.85295105,99720.44531,33.87664413,51.71775818
26.89562225,99708.32031,33.9262619,51.12357712
26.90806389,99703.51563,34.0008812,51.45985413
26.90333557,99689.21875,34.1051712,50.77719498
26.91053772,99685.82813,34.20697021,50.30370331
26.91812134,99682.07031,34.29408646,51.21163177
26.93337822,99663.96875,34.35884476,52.15250015
26.93810654,99648.11719,34.47186279,51.1408577
26.95321083,99654.86719,34.5825119,51.75982666
26.96818542,99654.32031,34.65943909,51.30704498
26.94829559,99643.47656,34.79611206,52.12456512
26.95593834,99643.38281,34.96280289,51.44075775
26.98351097,99640.77344,35.0452652,50.14952087
26.96593094,99630.70313,35.18807983,51.02338409
26.99080849,99628.96094,35.34851837,51.15498352
26.96570969,99611.875,35.51879883,51.30266953
26.95067215,99608.96094,35.71525192,50.57069778
26.95076752,99594.51563,35.87054443,51.02404022
26.92824173,99602.67969,36.08248138,51.93570328
26.90809631,99606.46875,36.27970123,51.79596329
26.85561752,99603.32031,36.52746201,52.59520721
26.82782555,99598.625,36.70153427,53.02973557
26.85806084,99596.40625,36.88551331,52.81947327
26.83563042,99586.10938,37.0616684,52.41556549
26.75767708,99576.28906,37.41001511,51.61229706
26.74777985,99573.99219,37.56690979,51.05679703
26.72781944,99567,37.78898239,50.94845581
26.78521729,99559.79688,37.88245773,50.7697525
26.85818672,99556.39063,37.94717026,50.48694992
26.93312454,99561.07813,37.98448563,50.82426453
26.92081642,99564.20313,38.19422913,50.84756851
26.93315697,99559.97656,38.36598206,50.69942093
26.96593094,99555.57813,38.56990051,50.7428894
26.9758625,99564.10938,38.78036118,50.69047928
26.9581604,99553.67188,39.00896454,51.26383591
26.94071007,99546.89063,39.29401779,50.68001556
26.92576408,99550.00781,39.5783844,50.20436859
26.89574814,99534.88281,39.92626953,50.72084045
26.85539436,99523.82813,40.26622009,50.17612076
26.82058907,99520.35156,40.61433029,51.3128624
26.78528214,99524.51563,40.97212601,50.01167297
26.76021385,99516.19531,41.40125656,51.18235016
26.70517159,99512.83594,41.80747223,50.00281525
26.70250511,99503.86719,42.10261536,50.23209763
26.67245865,99501.33594,42.49704361,50.06842422
26.63261032,99488.83594,42.936306,50.72975159
26.59253883,99478.14844,43.4341774,50.09423065
26.52229309,99479,43.9613533,50.28813934
26.42936707,99481.44531,44.6358223,50.49993896
26.39938545,99480.55469,45.25813293,50.71367264
26.32682419,99468.61719,45.9240303,52.93465042
26.23386574,99469.20313,46.8013916,56.32131195
26.13859177,99466.84375,47.61442184,57.81778336
26.01326752,99441.14844,48.62422562,62.41541672
25.83030319,99429.03906,49.97297668,65.83891296
25.66487885,99419.30469,51.32221985,63.8566246
25.4243927,99415.99219,51.66453552,55.17394257
25.3543396,99398.39844,50.72354126,53.02198029
25.42178917,99374.75,50.82920074,52.87802505
25.53975296,99364.80469,50.80052567,50.78290176
25.59489059,99353.75781,50.89919662,51.64630127
25.69997025,99344.73438,51.21974945,50.60428238
25.90549469,99342.86719,51.51735687,51.0103302
25.78039551,99331.05469,52.69950485,50.75764084
25.98068619,99345.15625,53.15019608,52.8085289
26.09100151,99349.85938,52.91283798,51.39965057
26.16869926,99351.45313,52.41498184,50.82218933
26.37165451,99351.51563,53.04367065,55.56217957
26.54228401,99344.44531,53.44069672,51.22066116
26.43460274,99343.07813,53.60439301,53.82846069
26.33935356,99352.24219,53.06671906,52.49050903
26.00324249,99343.75781,46.56741333,52.12372971
25.98316002,99350.10938,45.54637527,50.4795723
26.00825691,99343.65625,45.4300499,52.39980316
25.91075897,99335.80469,44.82930374,50.31847763
25.88566208,99337.32813,44.76137924,50.79611206
25.83061981,99343.64844,46.27398682,50.41587448
25.72769547,99339.75,46.22769928,50.80490494
25.49447632,99337.83594,46.83055115,54.86928558
25.32676888,99325.88281,47.11388779,60.61552811
25.16109276,99303.39063,47.60384369,63.88342285
24.51466942,99292.42969,48.73666,70.99074554
24.50442314,99280.47656,48.15219879,71.74781799
24.52701378,99269.8125,47.65757751,64.03748322
24.54452515,99258.91406,47.53468704,69.89598846
24.55204391,99255.17188,47.84563065,77.57322693
24.54953766,99237.30469,48.08828354,88.20707703
24.55981636,99221.9375,48.43733215,96.90995026
24.55956268,99213.19531,48.70401764,102.8222961
24.58963966,99222.125,49.04991913,112.4136047
24.59972763,99210.19531,49.71178055,131.5399933
24.55223465,99199.82813,49.90759659,123.8381195
24.52698135,99194.25,49.78199387,134.2408752
24.4893837,99198.375,49.72303009,147.3381348
24.46936607,99183.20313,48.91133118,129.4359436
24.40667534,99177.01563,47.89083862,171.1620026
24.29154015,99160.95313,47.81871796,153.7143555
24.27399635,99150.71875,48.11867905,179.6357574
24.29138184,99134.92188,48.29718018,194.1252899
24.3088932,99114.72656,48.57103348,171.2060089
24.30898857,99114,48.87744522,180.2195587
24.29639435,99131.33594,49.05934906,162.7337799
24.30422974,99138.69531,49.4421463,173.20401
24.30661201,99136.16406,49.58000183,181.3518372
24.33170509,99135.00781,50.12692261,197.6399536
24.31920433,99128.14063,50.02885437,199.8061523
24.32167816,99127.0625,50.27943802,185.011734
24.3390007,99109.96875,50.31846237,190.1916504
24.35905266,99099.82813,50.48218918,171.3542023
24.34677696,99095.88281,50.56022263,174.5010681
24.35924339,99088.54688,50.78837967,183.3918915
24.37672615,99083.65625,51.18662643,195.2215424
24.40930939,99084.92969,51.5866394,191.8449249
24.43180084,99088.65625,52.03725052,194.3285065
24.43177032,99086.10156,52.13684464,184.7404785
24.46447945,99100.67969,52.36485672,183.4073944
24.47681999,99100.46875,52.35807419,135.5996399
24.51448059,99110.72656,52.53009033,135.1037292
24.5722847,99112.66406,52.83714676,127.669548
24.61470413,99114.59375,53.37711716,130.5993042
24.60718346,99111.24219,53.958004,132.7112732
24.57707405,99115.08594,54.56444168,137.2731628
24.66003799,99113.30469,55.3405571,140.7866669
24.8102951,99108.46094,55.9205246,140.3887634
24.98060036,99100.15625,55.67086792,141.3433838
25.12349701,99100.85938,55.63093948,140.2240295
25.25402069,99098.3125,55.10217667,138.3933716
25.21883583,99100.28125,50.72281265,127.6416702
25.23130608,99101.15625,51.52253342,141.8198547
24.74503517,99091.13281,52.61355591,141.7319946
24.7375145,99093.96094,52.90517044,142.6663513
24.73006058,99096.23438,53.16923141,122.9463043
24.730093,99093.32813,53.45911407,126.4547348
24.73767281,99090.67969,53.65513992,131.4026947
24.75531387,99095.625,53.85609436,137.4142456
24.76778221,99093.57031,53.95050049,129.114151
24.76755905,99092.83594,53.75158691,127.9542465
24.73250198,99090.07031,53.62525177,131.5158997
24.7550602,99085.05469,54.08675766,137.2495117
24.77787018,99089.48438,54.6637764,145.9762421
24.80033302,99085.9375,55.14298248,161.1580505
24.81019974,99077.67188,55.16664505,164.3234863
24.79018211,99079.79688,55.10840988,154.474884
24.7753334,99075.27344,55.13336563,98.37376404
24.79014969,99079.07031,53.33871841,102.7422028
24.80534554,99084.53125,53.11997604,99.97465515
24.78262901,99076.27344,52.8731575,94.43787384
24.7650528,99070.41406,52.35871124,89.68759155
24.75004768,99065.13281,52.25143433,88.7988739
24.75255394,99056.4375,52.09288788,91.45828247
24.75011063,99052.39063,51.37873459,88.70678711
24.73018837,99046.69531,50.97172165,73.70661926
24.7099781,99047.74219,50.25770569,60.53289795
24.57986641,99054.28906,45.63568115,52.50566101
24.58973503,99056.59375,45.65514755,53.48139572
24.61746216,99058,45.66820145,52.092556
24.61489487,99060.88281,45.69396591,52.99394989
24.62970924,99066.88281,45.68100739,52.28178787
24.62726784,99072.66406,45.72512436,51.73774338
24.64227295,99077.94531,45.65369034,51.91092682
24.65480423,99084.45313,45.62270355,53.78129959
24.65734291,99089.57813,45.57845306,51.12695694
24.69515991,99093.65625,45.46764374,52.35528564
24.71245193,99103.32813,45.13529205,50.42662048
24.73259735,99103.00781,44.95049667,50.8676033
24.77035332,99094.32813,44.72210693,51.88473511
24.79541588,99094.42969,44.4923172,51.9261322
24.82288933,99095.66406,44.23371506,52.61210251
24.8452549,99098.27344,43.92284012,50.61754608
24.86283493,99112.3125,43.60311508,52.31642532
24.84033966,99128.64063,43.23407364,52.67292786
24.85306358,99142.80469,42.93835831,53.01591492
24.835392,99153.35938,42.74323273,51.84841156
24.83529663,99166.11719,42.29410172,51.37870407
24.81521225,99167.875,42.37692642,51.15398788
